3.300000000e-01 -9.808609742e-08  6.797640110e-07 -5.236067014e-01  1.047188657e+00 -5.236046727e-01 -5.856993943e-07 -8.344128103e-08  4.574775432e-07 -5.236063769e-01  1.047188224e+00 -5.236052374e-01  6.745374523e-07  1.745329288e+00  6.094914531e-08 -2.030826225e-09 -5.235990585e-01  1.745329276e+00 -7.027090293e-09  9.123443646e-09 -5.235990586e-01
3.400000000e-01 -9.544113419e-08  7.064531890e-07 -5.236071318e-01  1.047188195e+00 -5.236050275e-01 -6.057060074e-07 -9.077400027e-08  4.818632018e-07 -5.236068031e-01  1.047187757e+00 -5.236056117e-01  6.782368350e-07  1.745329296e+00  6.329301376e-08 -1.904584071e-09 -5.235990606e-01  1.745329282e+00 -6.343267801e-09  9.453346016e-09 -5.235990607e-01
3.500000000e-01 -1.035307908e-07  7.359003430e-07 -5.236075752e-01  1.047187722e+00 -5.236053914e-01 -6.308115300e-07 -8.868829141e-08  5.040137346e-07 -5.236072398e-01  1.047187280e+00 -5.236059984e-01  6.850302604e-07  1.745329303e+00  6.564894349e-08 -1.766523276e-09 -5.235990626e-01  1.745329289e+00 -5.626205336e-09  9.787828467e-09 -5.235990627e-01
3.600000000e-01 -1.040864988e-07  7.648116726e-07 -5.236080302e-01  1.047187239e+00 -5.236057650e-01 -6.570193009e-07 -9.452885372e-08  5.270331010e-07 -5.236076885e-01  1.047186792e+00 -5.236063972e-01  6.913215680e-07  1.745329311e+00  6.804052048e-08 -1.617658589e-09 -5.235990647e-01  1.745329296e+00 -4.853131335e-09  1.012547697e-08 -5.235990648e-01
3.700000000e-01 -1.026773049e-07  7.936651016e-07 -5.236084959e-01  1.047186746e+00 -5.236061523e-01 -6.778743956e-07 -1.006212451e-07  5.530145205e-07 -5.236081500e-01  1.047186294e+00 -5.236068038e-01  6.930663636e-07  1.745329318e+00  7.046551449e-08 -1.458600322e-09 -5.235990668e-01  1.745329302e+00 -4.025779944e-09  1.046624651e-08 -5.235990669e-01
3.800000000e-01 -1.103906412e-07  8.239438215e-07 -5.236089741e-01  1.047186241e+00 -5.236065500e-01 -7.002850545e-07 -9.802865966e-08  5.785782253e-07 -5.236086225e-01  1.047185786e+00 -5.236072214e-01  6.949679126e-07  1.745329325e+00  7.290959268e-08 -1.288566174e-09 -5.235990689e-01  1.745329309e+00 -3.158615645e-09  1.081124297e-08 -5.235990691e-01
3.900000000e-01 -1.126366969e-07  8.540784313e-07 -5.236094642e-01  1.047185726e+00 -5.236069565e-01 -7.280955849e-07 -1.019054977e-07  6.034240326e-07 -5.236091069e-01  1.047185268e+00 -5.236076523e-01  6.993272585e-07  1.745329333e+00  7.538245883e-08 -1.106947764e-09 -5.235990711e-01  1.745329315e+00 -2.242881080e-09  1.115968227e-08 -5.235990712e-01
4.000000000e-01 -1.118902102e-07  8.842721474e-07 -5.236099652e-01  1.047185200e+00 -5.236073758e-01 -7.497669603e-07 -1.074074986e-07  6.310350922e-07 -5.236096039e-01  1.047184740e+00 -5.236080917e-01  6.986848336e-07  1.745329340e+00  7.790476294e-08 -9.161056550e-10 -5.235990732e-01  1.745329321e+00 -1.257619998e-09  1.151066099e-08 -5.235990734e-01
4.100000000e-01 -1.187206367e-07  9.160529706e-07 -5.236104780e-01  1.047184664e+00 -5.236078052e-01 -7.756249564e-07 -1.056868799e-07  6.573573638e-07 -5.236101127e-01  1.047184201e+00 -5.236085428e-01  7.002921762e-07  1.745329347e+00  8.045219886e-08 -7.140992993e-10 -5.235990754e-01  1.745329327e+00 -2.273040024e-10  1.186531867e-08 -5.235990755e-01
4.200000000e-01 -1.227866364e-07  9.485472230e-07 -5.236110033e-01  1.047184117e+00 -5.236082440e-01 -8.044885782e-07 -1.077112992e-07  6.833695590e-07 -5.236106326e-01  1.047183652e+00 -5.236090063e-01  7.030702422e-07  1.745329354e+00  8.302324864e-08 -5.006767715e-10 -5.235990776e-01  1.745329333e+00  8.462412106e-10  1.222400145e-08 -5.235990777e-01
4.300000000e-01 -1.213966238e-07  9.804041266e-07 -5.236115397e-01  1.047183559e+00 -5.236086944e-01 -8.303147686e-07 -1.145059946e-07  7.116249914e-07 -5.236111650e-01  1.047183093e+00 -5.236094795e-01  7.021377927e-07  1.745329361e+00  8.561885645e-08 -2.766279404e-10 -5.235990798e-01  1.745329340e+00  1.964089887e-09  1.258683907e-08 -5.235990800e-01
4.400000000e-01 -1.238016197e-07  1.013675845e-06 -5.236120875e-01  1.047182991e+00 -5.236091581e-01 -8.537844175e-07 -1.161870881e-07  7.413222444e-07 -5.236117095e-01  1.047182524e+00 -5.236099609e-01  6.995336606e-07  1.745329368e+00  8.824525664e-08 -4.223245327e-11 -5.235990820e-01  1.745329345e+00  3.132493088e-09  1.295300809e-08 -5.235990822e-01
4.500000000e-01 -1.304985354e-07  1.047095371e-06 -5.236126477e-01  1.047182412e+00 -5.236096304e-01 -8.804150904e-07 -1.148715299e-07  7.701473563e-07 -5.236122653e-01  1.047181944e+00 -5.236104555e-01  6.971605223e-07  1.745329374e+00  9.089731462e-08  2.033914020e-10 -5.235990843e-01  1.745329351e+00  4.345477007e-09  1.332299652e-08 -5.235990844e-01
4.600000000e-01 -1.331186187e-07  1.081265352e-06 -5.236132197e-01  1.047181822e+00 -5.236101125e-01 -9.087347167e-07 -1.180391955e-07  7.994195857e-07 -5.236128330e-01  1.047181354e+00 -5.236109620e-01  6.957403950e-07  1.745329381e+00  9.358655077e-08  4.595105526e-10 -5.235990865e-01  1.745329357e+00  5.614598617e-09  1.369627004e-08 -5.235990867e-01
